witness,interview_number,date,did MB charge at police car or police officer,did mb reach into or otherwise directly interacted with police car,did dw fire gun repeatedly at mb while mb was down,did mb put his hands at his waist,did mb face dw when fired upon,was mb running away from dw when fired upon,was mb kneeling when fired upon,did mb put hands up when fired upon,how many shots were fired
officer darren wilson,1,8/19/14,yes,yes,,yes,yes,yes,,,multiple
witness 10,1,8/11/14,yes,yes,,yes,,,,no,
witness 12,1,8/9/14,,yes,no,,yes,yes,no,,9 or 10
witness 12,2,8/9/14,,,no,,yes,yes,no,,5 or 6
witness 12,3,8/13/14,,yes,no,,yes,yes,no,don't know,8
witness 14,1,8/5/14,no,yes,no,no,yes,yes,no,yes,8
witness 14,2,9/24/14,no,yes,no,no,yes,no,no,yes,
witness 16,1,,,yes,,,,yes,,yes,at least 3
witness 16,2,8/9/14,no,,no,,yes,yes,no,yes,at least 7
witness 22,1,8/9/14,,,,yes,,,yes,yes,at least 5
witness 25,1,8/9/14,,,,,yes,yes,yes,,at least 5
witness 30,1,8/13/14,yes,,,yes,,yes,,no,5 or 6
witness 32,1,8/9/14,,yes,,,yes,,,,at least 4
witness 34,1,9/3/14,yes,yes,,,,no,don't know,don't know,4
witness 35,1,8/13/14,yes,,,,,,yes,yes,8
witness 37,1,8/18/14,,yes,yes,,no,yes,,yes,10
witness 38,1,8/16/14,,,,,,,,,7 or 8
witness 41,1,8/26/14,,,yes,,yes,,yes,yes,9
witness 41,2,8/26/14,don’t know,don't know,yes,,yes,,yes,yes,9
witness 42,1,8/16/14,,,yes,,yes,yes,,yes,don't know
witness 43,1,8/9/14,don’t know,yes,,,,yes,,,5 or 6
witness 44,1,8/16/14,yes,don't know,,,yes,no,,yes,7 or 8
witness 44,2,9/25/14,yes,yes,no,,yes,no,,yes,
witness 45,1,8/16/14,no,no,yes,,yes,yes,yes,yes,10 or 11
witness 46,1,8/15/14,no,no,yes,,no,yes,yes,yes,5 or 6
witness 48,1,8/14/14,,,,,yes,no,,yes,9
witness 48,2,8/14/14,,,,,,,,,
witness 57,2,11/6/14,,no,don't know,don’t know,don't know,yes,,don't know,5 or 6
witness 64,2,11/11/14,don’t know,,,yes,yes,yes,,yes,
